ACOUSTICS,,
,,
2,Hong Kong Hong Kong Polytechnic University ,99.23
3,Hong Kong City University of Hong Kong ,96.74
4,China Tsinghua University ,95.65
5,Singapore National University of Singapore ,93.76
6,Taiwan National Taiwan University of Science and Technology ,92.1
7,Taiwan National Cheng Kung University ,91.2
8,China Shanghai Jiao Tong University ,89.92
9,Taiwan National Chiao Tung University ,89.44
10,China Harbin Institute of Technology ,89.31
,,
,,
,,
,,
"COMPUTER SCIENCE, CYBERNETICS",,
,,
World Rank,Institution,Score
1,China Tongji University ,100
2,USA New Jersey Institute of Technology ,98.29
3,Hong Kong Hong Kong Polytechnic University ,97.08
4,China Harbin Institute of Technology ,96.45
4,China Huazhong University of Science and Technology ,96.45
4,Singapore Nanyang Technological University ,96.45
7,Hong Kong City University of Hong Kong ,95.15
8,Macau University of Macau ,92.34
9,Australia University of Adelaide ,89.19
10,China Zhejiang University ,88.34
,,
,,
,,
,,
"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",,
,,
World Rank,Institution,Score
1,China Tsinghua University ,100
2,Singapore Nanyang Technological University ,96.66
3,USA Purdue University ,93.44
4,Canada University of Waterloo ,93.34
5,USA Georgia Institute of Technology ,91.95
6,USA Massachusetts Institute of Technology ,89.14
7,Taiwan National Chiao Tung University ,88.65
8,South Korea KAIST ,88.01
9,Hong Kong Hong Kong University of Science and Technology ,87.75
10,USA Princeton University ,87.22
,,
,,
,,
,,
"COMPUTER SCIENCE, INFORMATION SYSTEMS",,
,,
World Rank,Institution,Score
1,China Tsinghua University ,100
2,Singapore Nanyang Technological University ,99.93
3,USA Stanford University ,96.5
4,USA Massachusetts Institute of Technology ,95.95
5,Hong Kong City University of Hong Kong ,95.33
6,Singapore National University of Singapore ,95.15
7,USA University of Illinois at Urbana–Champaign ,95.11
8,Israel Technion – Israel Institute of Technology ,94.08
9,Canada University of Waterloo ,93.98
10,Hong Kong Hong Kong University of Science and Technology ,93.39
,,
,,
,,
,,
"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",,
,,
World Rank,Institution,Score
1,USA Harvard University ,100
2,USA Stanford University ,96.54
3,USA University of Michigan ,91.26
4,Belgium Katholieke Universiteit Leuven ,89.65
5,United Kingdom Imperial College London ,88.96
6,USA Massachusetts Institute of Technology ,88.68
7,Switzerland Swiss Federal Institute of Technology in Zurich ,88.53
8,Germany Technical University of Munich ,87.95
9,Singapore National University of Singapore ,87.64
10,"USA University of California, Los Angeles ",86.86
,,
,,
,,
,,
"COMPUTER SCIENCE, SOFTWARE ENGINEERING",,
,,
World Rank,Institution,Score
1,USA Stanford University ,100
2,USA Massachusetts Institute of Technology ,99.85
3,China Tsinghua University ,99.59
4,Switzerland Swiss Federal Institute of Technology in Zurich ,99.02
5,China Zhejiang University ,98.86
6,USA Carnegie Mellon University ,97.05
7,Singapore Nanyang Technological University ,95.89
8,USA Georgia Institute of Technology ,95.56
9,"USA University of California, Berkeley ",94.56
10,Canada University of British Columbia ,92.98
,,
,,
,,
,,
"COMPUTER SCIENCE, THEORY & METHODS",,
,,
World Rank,Institution,Score
1,China Tsinghua University ,100
2,USA Massachusetts Institute of Technology ,99.93
3,Singapore Nanyang Technological University ,97.65
4,Israel Technion – Israel Institute of Technology ,95.64
5,Canada University of Waterloo ,95.55
6,Hong Kong City University of Hong Kong ,94.94
7,Israel Tel Aviv University ,93.27
7,USA University of Illinois at Urbana–Champaign ,93.27
9,USA Georgia Institute of Technology ,92.98
10,Singapore National University of Singapore ,92.68
,,
,,
,,
,,
CONSTRUCTION & BUILDING TECHNOLOGY,,
,,
World Rank,Institution,Score
1,China Southeast University (China) ,100
2,China Tongji University ,97.81
3,China Tsinghua University ,94.01
4,Hong Kong Hong Kong Polytechnic University ,93.78
5,China Wuhan University of Technology ,93.43
6,Portugal University of Lisbon ,92.09
7,Netherlands Delft University of Technology ,91.18
8,Switzerland Swiss Federal Institute of Technology in Lausanne ,88.47
9,Spain Polytechnic University of Catalonia ,88.16
10,Portugal University of Minho ,87.68
,,
,,
,,
,,
CRIMINOLOGY & PENOLOGY,,
,,
World Rank,Institution,Score
1,USA Florida State University ,100
2,USA Arizona State University ,96.69
3,USA Sam Houston State University ,96.36
4,USA University of Cincinnati ,95.17
5,"USA University of Maryland, College Park ",94.08
6,USA University of Missouri–St. Louis ,92.53
7,"USA University at Albany, SUNY ",91.92
8,USA University of Texas at Dallas ,90.64
9,USA Rutgers University ,89.74
10,USA University of South Florida ,89.27
,,
,,
,,
,,
CRITICAL CARE MEDICINE,,
,,
World Rank,Institution,Score
1,USA Harvard University ,100
2,Canada University of Toronto ,92.64
3,USA University of Pittsburgh ,91.36
4,USA Johns Hopkins University ,90.68
5,USA University of Pennsylvania ,88.69
6,USA University of Washington ,87
7,"USA University of California, San Francisco ",85.74
8,USA University of Michigan ,84.57
9,United Kingdom Imperial College London ,83.87
10,USA University of Colorado Denver | Anschutz Medical Campus ,83.59
,,
,,
,,
,,
CRYSTALLOGRAPHY,,
,,
World Rank,Institution,Score
